short_name,nationality_name,overall,potential,value_eur,international_reputation,pace,shooting,passing,defending,physic,player_positions
I. Boonen,Belgium,66,74,950000.0,1,73.0,65.0,61.0,31.0,57.0,"LM, ST, CAM"
L. Selahi,Albania,66,75,975000.0,1,72.0,51.0,60.0,63.0,73.0,"CM, CAM, CDM"
A. Antilef,Argentina,66,76,1000000.0,1,84.0,59.0,63.0,53.0,59.0,"CM, CAM"
M. Kolar,Croatia,66,72,900000.0,1,70.0,63.0,49.0,23.0,66.0,"ST, RM"
J. Osabutey,Ghana,66,75,1000000.0,1,86.0,62.0,45.0,24.0,60.0,"ST, RW"
D. Erdoğan,Turkey,66,73,900000.0,1,65.0,54.0,64.0,59.0,68.0,CM
C. Boukholda,France,66,73,900000.0,1,51.0,56.0,69.0,37.0,52.0,"CAM, CM"
J. Amon,United States,66,77,1100000.0,1,92.0,56.0,54.0,32.0,56.0,LW
M. Wolfram,Germany,66,75,1000000.0,1,74.0,63.0,63.0,36.0,65.0,"RM, LM, CF"
L. Rajot,France,66,76,1000000.0,1,72.0,52.0,66.0,62.0,57.0,"CAM, CDM"
Fran Manzanara,Spain,66,76,950000.0,1,63.0,50.0,57.0,65.0,59.0,"CDM, CB"
J. Godínez,Mexico,66,75,1000000.0,1,67.0,62.0,50.0,30.0,68.0,ST
Y. Tatsuta,Japan,66,74,850000.0,1,61.0,36.0,55.0,62.0,76.0,"CB, RB"
Y. Kawai,Japan,66,66,625000.0,1,62.0,60.0,65.0,59.0,54.0,"CM, CAM, CDM"
L. Marseiler,Germany,66,72,875000.0,1,81.0,57.0,58.0,34.0,58.0,"LM, RM"
H. Benkaid,France,66,66,650000.0,1,71.0,65.0,58.0,34.0,61.0,"ST, LM, RM"
M. Kadiri,Ghana,66,73,825000.0,1,70.0,33.0,44.0,65.0,67.0,"CB, CDM"
M. Sepúlveda,Chile,66,76,975000.0,1,74.0,60.0,61.0,61.0,69.0,"CDM, CM, RM"
L. Márquez,Mexico,66,68,800000.0,1,25.0,62.0,65.0,39.0,54.0,CAM
R. Kerrouche,France,66,71,850000.0,1,65.0,53.0,61.0,62.0,64.0,"CM, CDM"
E. El Id,Mauritania,66,77,950000.0,1,65.0,42.0,57.0,63.0,76.0,"CDM, CM"
M. Methnani,Tunisia,66,69,800000.0,1,68.0,60.0,61.0,59.0,65.0,"CM, CDM"
S. Al Sawadi,Saudi Arabia,66,72,875000.0,1,84.0,54.0,60.0,25.0,63.0,"LM, RM"
Nico Hidalgo,Spain,66,69,800000.0,1,77.0,55.0,60.0,49.0,59.0,RM
A. Al Salem,Saudi Arabia,66,72,875000.0,1,65.0,64.0,60.0,56.0,67.0,"CAM, ST, CDM"
A. Fadlalla,Qatar,66,71,725000.0,1,69.0,62.0,64.0,62.0,77.0,"LB, LWB"
K. Savichev,Russia,66,74,950000.0,1,80.0,59.0,62.0,44.0,45.0,"RM, LM"
S. Lagrou,Morocco,66,68,650000.0,1,80.0,53.0,61.0,62.0,60.0,LB
Lee You Hyeon,Korea Republic,66,80,1300000.0,1,73.0,38.0,59.0,63.0,58.0,"RB, LB"
M. Sowislo,Germany,66,66,325000.0,1,53.0,62.0,59.0,58.0,74.0,"CM, CAM"
T. Mpati,Belgium,66,70,675000.0,1,77.0,37.0,56.0,63.0,66.0,"RB, LB"
A. Riel,Denmark,66,66,675000.0,1,81.0,64.0,49.0,19.0,60.0,ST
J. Cox,Panama,66,74,950000.0,1,51.0,69.0,37.0,21.0,72.0,ST
M. Axente,Romania,66,66,625000.0,1,72.0,66.0,54.0,24.0,69.0,ST
M. Van Heerden,South Africa,66,66,475000.0,1,68.0,42.0,59.0,64.0,67.0,"LB, LWB"
Victor Massaia,Brazil,66,68,650000.0,1,45.0,30.0,38.0,67.0,73.0,CB
T. Hunte,Netherlands,66,66,700000.0,1,80.0,64.0,59.0,39.0,62.0,"LW, RW"
J. Dem,Germany,66,69,675000.0,1,74.0,43.0,51.0,66.0,80.0,"CDM, CB"
G. Tetrashvili,Russia,66,66,525000.0,1,59.0,48.0,60.0,67.0,68.0,"CDM, CM, LB"
I. Harkes,United States,66,77,1100000.0,1,66.0,64.0,62.0,58.0,73.0,"CM, CDM"
S. Gorga,Uruguay,66,74,825000.0,1,70.0,29.0,37.0,66.0,71.0,CB
Raí,Brazil,66,77,1100000.0,1,77.0,66.0,52.0,22.0,55.0,"ST, CF, RW, LW"
M. Musaka,Japan,66,66,675000.0,1,66.0,62.0,66.0,58.0,62.0,CM
I. Escobar,Argentina,66,75,850000.0,1,85.0,32.0,47.0,63.0,54.0,LB
R. Norodien,South Africa,66,72,875000.0,1,81.0,50.0,60.0,22.0,42.0,"LM, LW"
Pité,Portugal,66,73,750000.0,1,60.0,44.0,62.0,64.0,71.0,LB
D. Trajkovski,Slovenia,66,69,675000.0,1,71.0,34.0,56.0,61.0,65.0,LB
Mateus Gonçalves,Brazil,66,74,950000.0,1,81.0,62.0,55.0,28.0,41.0,LM
B. Mason,England,66,80,1200000.0,1,82.0,40.0,60.0,62.0,61.0,LB
D. Lamkel Ze,Cameroon,66,73,925000.0,1,83.0,62.0,59.0,43.0,68.0,"LW, RW, ST"
Park Tae Hong,Korea Republic,66,68,650000.0,1,67.0,27.0,38.0,68.0,68.0,CB
S. Monaco,Italy,66,69,675000.0,1,54.0,44.0,47.0,67.0,66.0,CB
Jallyson Neto,Brazil,66,66,550000.0,1,63.0,49.0,62.0,64.0,74.0,LB
T. Nakamura,Japan,66,66,525000.0,1,68.0,28.0,56.0,65.0,68.0,"LB, LM"
G. Ramos,Uruguay,66,69,775000.0,1,59.0,65.0,70.0,44.0,55.0,CAM
Y. Díaz,Colombia,66,68,775000.0,1,84.0,59.0,57.0,32.0,65.0,"RM, LM"
Luís Pérez,Spain,66,72,725000.0,1,71.0,40.0,52.0,66.0,61.0,RB
M. Parra,Chile,66,76,875000.0,1,57.0,38.0,37.0,65.0,72.0,CB
Sancidino,Guinea Bissau,66,73,875000.0,1,78.0,62.0,55.0,28.0,48.0,LW
M. Stevanovic,Serbia,66,77,925000.0,1,68.0,34.0,49.0,66.0,72.0,"RB, CB"
D. Guba,Slovakia,66,67,700000.0,1,71.0,60.0,62.0,25.0,59.0,RM
Lorenço Pirdel,Brazil,66,66,625000.0,1,41.0,63.0,55.0,36.0,62.0,ST
M. Rygaard Jensen,Denmark,66,68,750000.0,1,67.0,60.0,65.0,41.0,56.0,CAM
André de Arao,Brazil,66,66,475000.0,1,82.0,47.0,58.0,63.0,51.0,RB
Heitor Silbeira,Brazil,66,66,550000.0,1,75.0,52.0,61.0,59.0,61.0,LB
F. Colela,Argentina,66,76,875000.0,1,66.0,54.0,53.0,67.0,69.0,"CDM, LM"
D. Korobov,Russia,66,77,1100000.0,1,76.0,54.0,61.0,54.0,50.0,RM
T. Miyayoshi,Japan,66,71,850000.0,1,78.0,64.0,42.0,20.0,57.0,"ST, CF"
K. Morisaki,Japan,66,66,110000.0,1,38.0,42.0,60.0,63.0,70.0,"CDM, CM"
Xiscu Martínez,Spain,66,72,850000.0,1,69.0,65.0,59.0,31.0,57.0,LM
L. Perdomo,Argentina,66,76,775000.0,1,61.0,42.0,52.0,68.0,60.0,CDM
Kim Geon Woong,Korea Republic,66,80,1100000.0,1,65.0,47.0,58.0,61.0,67.0,"CDM, CB"
Fepe Rochela,Brazil,66,67,775000.0,1,49.0,66.0,46.0,39.0,66.0,ST
Adryan Limeira,Brazil,66,71,850000.0,1,79.0,64.0,61.0,30.0,46.0,"ST, CF"
M. Jelić,Croatia,66,68,775000.0,1,73.0,64.0,53.0,28.0,70.0,ST
M. Maouche,France,66,72,850000.0,1,68.0,54.0,66.0,57.0,68.0,"CM, CDM"
E. Montagna,Argentina,66,75,950000.0,1,81.0,63.0,62.0,41.0,58.0,LM
A. Awaji,Saudi Arabia,66,66,625000.0,1,85.0,68.0,55.0,26.0,61.0,"LM, RM, ST"
A. Doffo,Argentina,66,75,975000.0,1,72.0,57.0,67.0,27.0,45.0,CAM
O. Myny,Belgium,66,72,850000.0,1,82.0,62.0,59.0,29.0,61.0,RM
S. Sissoko,France,66,68,775000.0,1,58.0,63.0,48.0,29.0,69.0,ST
Ł. Sekulski,Poland,66,68,775000.0,1,82.0,62.0,39.0,24.0,70.0,ST
R. Lacazette,France,66,74,800000.0,1,76.0,54.0,60.0,63.0,77.0,CDM
H. Al Juhayyim,Saudi Arabia,66,66,625000.0,1,67.0,65.0,57.0,40.0,69.0,ST
F. Azemi,Norway,66,73,900000.0,1,79.0,63.0,54.0,44.0,66.0,"ST, RW"
K. Essikal,Morocco,66,75,850000.0,1,54.0,40.0,54.0,66.0,71.0,"CDM, CB"
R. Allen,United States,66,67,575000.0,1,69.0,36.0,60.0,64.0,73.0,RB
S. Abdul-Salaam,United States,66,71,700000.0,1,81.0,28.0,54.0,64.0,76.0,"RB, LB"
C. Carrillo,Colombia,66,73,750000.0,1,66.0,38.0,59.0,64.0,65.0,CDM
L. Rexhepi,Kosovo,66,70,700000.0,1,54.0,35.0,48.0,64.0,71.0,CB
C. Oikonomidis,Australia,66,75,975000.0,1,68.0,63.0,62.0,49.0,59.0,"LW, CM"
H. Hauksson,Iceland,66,71,700000.0,1,72.0,44.0,57.0,63.0,75.0,RWB
K. Méndez,Uruguay,66,78,1100000.0,1,75.0,66.0,61.0,21.0,55.0,"CAM, LW, CF"
A. Fall,France,66,69,625000.0,1,84.0,58.0,62.0,61.0,68.0,"RB, LB"
F. Martorell,Argentina,66,66,110000.0,1,53.0,30.0,36.0,65.0,68.0,CB
R. Gérard,France,66,71,825000.0,1,74.0,59.0,64.0,34.0,61.0,"RM, LM"
Nacho Monsalve,Spain,66,72,725000.0,1,56.0,26.0,48.0,67.0,63.0,"CB, RB, LB"
A. Salzano,Italy,66,67,725000.0,1,57.0,53.0,64.0,54.0,67.0,CM
G. Berthier,France,66,76,1000000.0,1,72.0,59.0,65.0,29.0,59.0,"LM, RM, CAM"
S. Kilic,France,66,75,950000.0,1,66.0,57.0,61.0,55.0,67.0,"CM, CAM"
D. van Bruggen,Netherlands,66,74,800000.0,1,65.0,43.0,46.0,64.0,69.0,CB
D. Mbala,Congo DR,66,70,800000.0,1,91.0,56.0,55.0,20.0,47.0,"LM, RM"
M. Rolón,Argentina,66,74,925000.0,1,76.0,63.0,58.0,30.0,48.0,"LW, RW, ST"
S. Scougall,Scotland,66,73,875000.0,1,75.0,59.0,64.0,44.0,61.0,"CM, CAM, LW"
F. Görgülü,Netherlands,66,69,675000.0,1,60.0,35.0,52.0,64.0,62.0,CB
K. Vermeulen,Netherlands,66,68,750000.0,1,65.0,63.0,60.0,58.0,71.0,CAM
M. Blázquez,Chile,66,69,650000.0,1,55.0,31.0,45.0,66.0,71.0,CB
E. Markkanen,Finland,66,71,850000.0,1,64.0,65.0,49.0,31.0,78.0,ST
Gwak Hae Seong,Korea Republic,66,71,700000.0,1,70.0,48.0,52.0,64.0,64.0,"RB, LB"
M. Lundemo,Norway,66,74,900000.0,1,65.0,57.0,65.0,54.0,66.0,CM
L. Mulholland,England,66,66,625000.0,1,69.0,61.0,62.0,63.0,68.0,"CM, CDM"
C. Mena,Colombia,66,67,575000.0,1,34.0,30.0,44.0,65.0,76.0,CB
F. Carmona,Chile,66,73,875000.0,1,66.0,64.0,60.0,42.0,55.0,CAM
Ricardo Vaz,Portugal,66,78,1100000.0,1,79.0,62.0,60.0,27.0,41.0,"RM, LM"
M. Mosquera,Colombia,66,71,700000.0,1,65.0,27.0,48.0,65.0,72.0,"LB, CB"
C. Diedhiou,Senegal,66,66,500000.0,1,74.0,26.0,36.0,67.0,71.0,"CB, LB"
S. Lizana,Chile,66,72,875000.0,1,73.0,58.0,54.0,40.0,58.0,CAM
A. D'Angelo,Italy,66,66,550000.0,1,61.0,55.0,61.0,57.0,74.0,"CM, LM"
S. Hendriks,Netherlands,66,72,875000.0,1,68.0,64.0,52.0,24.0,58.0,ST
S. Bytyqi,Kosovo,66,76,1000000.0,1,69.0,59.0,62.0,37.0,59.0,"CAM, CM"
F. Dutari,Argentina,66,66,500000.0,1,66.0,30.0,46.0,66.0,68.0,CB
J. Capelli,Argentina,66,66,425000.0,1,73.0,37.0,43.0,68.0,70.0,"RB, CB"
K. Mackiewicz,Poland,66,71,825000.0,1,91.0,55.0,59.0,38.0,52.0,"LM, CAM"
C. Erskine,Scotland,66,66,600000.0,1,70.0,63.0,61.0,29.0,56.0,"CAM, RM"
A. Al Nazeri,Saudi Arabia,66,72,875000.0,1,67.0,61.0,65.0,28.0,67.0,"CAM, CM, RM, LM"
Á. Navarro,Uruguay,66,66,550000.0,1,51.0,69.0,50.0,22.0,69.0,ST
M. Restrepo,Colombia,66,66,110000.0,1,54.0,46.0,63.0,64.0,66.0,CDM
N. De Schutter,Belgium,66,66,500000.0,1,56.0,29.0,59.0,66.0,74.0,"RB, CDM, LB"
L. Hufnagel,Georgia,66,72,850000.0,1,73.0,55.0,62.0,50.0,59.0,RM
A. Rafetraniaina,France,66,76,775000.0,1,75.0,35.0,62.0,63.0,64.0,"CDM, RB, CM"
S. Al Mowalad,Saudi Arabia,66,69,625000.0,1,79.0,53.0,58.0,62.0,70.0,"RB, RM"
E. Córdoba,Colombia,66,74,775000.0,1,85.0,28.0,57.0,62.0,67.0,RB
Tarsi,Spain,66,75,950000.0,1,62.0,48.0,60.0,54.0,57.0,"CM, CDM"
C. Slater,Scotland,66,75,950000.0,1,73.0,56.0,63.0,57.0,64.0,"CM, CDM"
Nono Plata,Spain,66,69,775000.0,1,74.0,62.0,65.0,26.0,43.0,"CAM, LW, LM"
N. Quaschner,Germany,66,73,875000.0,1,81.0,63.0,60.0,26.0,71.0,"LM, ST"
C. Calvo,Mexico,66,71,700000.0,1,66.0,38.0,54.0,67.0,70.0,"LB, CB"
M. Aseri,Saudi Arabia,66,66,600000.0,1,69.0,66.0,54.0,25.0,67.0,ST
F. Vanzo,Belgium,66,72,850000.0,1,69.0,60.0,60.0,51.0,66.0,"RM, LM, CM"
M. Al Bishi,Saudi Arabia,66,66,475000.0,1,59.0,31.0,33.0,66.0,75.0,CB
N. Knight-Percival,England,66,66,475000.0,1,67.0,30.0,42.0,65.0,73.0,CB
A. Götz,Germany,66,70,675000.0,1,76.0,30.0,51.0,65.0,65.0,RB
T. Bu Haymid,Saudi Arabia,66,66,600000.0,1,76.0,56.0,63.0,43.0,71.0,"LM, CAM, RM, LB"
A. Kurdi,Saudi Arabia,66,69,650000.0,1,78.0,51.0,62.0,62.0,67.0,"RB, LB"
K. Osyra,Poland,66,71,725000.0,1,63.0,46.0,46.0,68.0,69.0,CB
T. Chow,England,66,75,950000.0,1,66.0,56.0,61.0,61.0,69.0,"CM, RWB"
A. Uryga,Poland,66,68,650000.0,1,44.0,47.0,55.0,63.0,75.0,"CB, CDM"
G. van Kessel,Curacao,66,72,875000.0,1,91.0,62.0,51.0,21.0,56.0,"ST, RW"
C. Mallace,Scotland,66,67,600000.0,1,61.0,51.0,63.0,61.0,77.0,"CDM, CM"
V. Ciupercă,Moldova,66,72,850000.0,1,73.0,52.0,68.0,53.0,56.0,CM
S. Gündüz,Germany,66,71,825000.0,1,77.0,57.0,59.0,46.0,68.0,"RM, LM, RW"
D. Babunski,North Macedonia,66,72,875000.0,1,72.0,58.0,62.0,53.0,57.0,"CAM, LW"
S. Raykov,Bulgaria,66,66,650000.0,1,76.0,58.0,59.0,23.0,49.0,"LW, RW"
L. Thompson,Wales,66,74,900000.0,1,68.0,50.0,63.0,60.0,73.0,CM
D. Janjatović,Serbia,66,70,700000.0,1,65.0,57.0,68.0,61.0,71.0,"CDM, CM"
N. Ansell,Australia,66,72,725000.0,1,65.0,29.0,48.0,64.0,74.0,CB
Alex Rodríguez,Spain,66,72,850000.0,1,64.0,51.0,61.0,60.0,70.0,CM
A. Todorovski,North Macedonia,66,66,350000.0,1,71.0,43.0,54.0,65.0,72.0,RB
R. Frikèche,Morocco,66,71,725000.0,1,51.0,54.0,62.0,58.0,76.0,"CDM, CM, CAM"
G. Comi,Italy,66,71,850000.0,1,66.0,64.0,50.0,21.0,74.0,ST
Kiko,Portugal,66,71,700000.0,1,67.0,57.0,61.0,63.0,69.0,LB
R. Lašík,Slovakia,66,70,800000.0,1,73.0,45.0,64.0,60.0,73.0,"CM, RM, RB"
Lee Woong Hee,Korea Republic,66,67,575000.0,1,76.0,30.0,52.0,64.0,73.0,CB
S. Carrasco,United States,66,67,575000.0,1,60.0,58.0,64.0,61.0,73.0,CDM
V. Ubiparip,Serbia,66,66,625000.0,1,71.0,65.0,61.0,36.0,70.0,"ST, CAM"
S. Saad,Lebanon,66,71,850000.0,1,74.0,67.0,60.0,26.0,51.0,"LW, LM"
Kim Byeong Oh,Korea Republic,66,66,625000.0,1,83.0,60.0,57.0,42.0,69.0,LW
M. Doughty,Wales,66,71,825000.0,1,66.0,56.0,67.0,55.0,69.0,CM
S. Sini,Italy,66,71,700000.0,1,63.0,34.0,53.0,69.0,69.0,"LB, CB"
F. Furlan,Italy,66,69,775000.0,1,71.0,53.0,61.0,20.0,61.0,"CAM, LM, RM, CM"
A. Cerigioni,Belgium,66,69,800000.0,1,77.0,64.0,61.0,23.0,57.0,"ST, LM, CAM, RM"
J. Boghossian,Uruguay,66,66,600000.0,1,33.0,67.0,50.0,28.0,76.0,ST
S. Corazza,Italy,66,67,700000.0,1,82.0,57.0,60.0,26.0,58.0,"LM, LW, ST"
G. Beretta,Italy,66,71,850000.0,1,68.0,64.0,51.0,21.0,68.0,"ST, RW"
D. Claasen,South Africa,66,66,625000.0,1,80.0,50.0,60.0,59.0,66.0,"RM, LM, CAM"
R. Gigolaev,Russia,66,66,625000.0,1,74.0,60.0,61.0,59.0,64.0,"LM, LB"
D. Escalante,Mexico,66,68,625000.0,1,66.0,49.0,60.0,63.0,71.0,"CB, LB"
A. Wittwer,Switzerland,66,69,625000.0,1,73.0,57.0,57.0,62.0,71.0,"LB, LM"
F. Cuvelier,Belgium,66,71,825000.0,1,74.0,61.0,65.0,49.0,66.0,"CM, LM, CAM"
Luciano Castán,Brazil,66,69,625000.0,1,65.0,21.0,34.0,64.0,78.0,"CB, LB"
M. Sansores,Mexico,66,70,800000.0,1,75.0,62.0,52.0,34.0,56.0,ST
E. Alexander,United States,66,66,500000.0,1,69.0,59.0,64.0,59.0,70.0,"CDM, CM"
B. Zemanski,United States,66,66,500000.0,1,61.0,57.0,63.0,63.0,72.0,"CDM, CM"
A. Martin,England,66,67,600000.0,1,57.0,39.0,38.0,66.0,68.0,CB
Edu Oriol,Spain,66,66,450000.0,1,77.0,56.0,62.0,61.0,60.0,"RB, RM, LM, CAM"
A. Wildig,England,66,70,825000.0,1,74.0,58.0,64.0,45.0,59.0,"CAM, CM"
L. Brown,England,66,67,600000.0,1,75.0,64.0,63.0,63.0,78.0,"LB, LWB"
J. Watson,Jamaica,66,66,350000.0,1,79.0,61.0,59.0,64.0,77.0,"RB, LB, CDM, CB"
O. Malik,Australia,66,66,550000.0,1,72.0,38.0,56.0,63.0,74.0,"CB, CDM"
S. Gallegos,Uruguay,66,71,850000.0,1,64.0,61.0,67.0,18.0,34.0,"CAM, CF"
Lee Chang Hoon,Korea Republic,66,66,575000.0,1,82.0,53.0,62.0,44.0,51.0,"LM, LW"
A. Wede,Sweden,66,67,700000.0,1,71.0,58.0,64.0,50.0,68.0,"CM, LM, RM"
M. Bordachev,Belarus,66,66,425000.0,1,70.0,49.0,60.0,65.0,70.0,"LB, LM"
S. Neville,Australia,66,66,500000.0,1,62.0,48.0,58.0,66.0,70.0,RB
Carlos Lázaro,Spain,66,69,750000.0,1,58.0,54.0,69.0,52.0,57.0,"CM, CDM"
D. Elsneg,Austria,66,67,725000.0,1,84.0,63.0,60.0,50.0,65.0,"CAM, ST"
D. Gustavsson,Sweden,66,67,700000.0,1,89.0,63.0,50.0,31.0,60.0,"RM, LM"
J. Obika,England,66,68,775000.0,1,73.0,63.0,43.0,29.0,71.0,ST
A. Takeuchi,Japan,66,66,275000.0,1,43.0,36.0,48.0,64.0,69.0,CB
R. Dejmek,Czech Republic,66,66,500000.0,1,66.0,35.0,50.0,65.0,74.0,CB
D. Gasparetto,Italy,66,66,500000.0,1,50.0,39.0,37.0,66.0,73.0,CB
D. McCrory,Republic of Ireland,66,67,575000.0,1,67.0,52.0,59.0,63.0,79.0,LB
M. Milanović,Serbia,66,68,625000.0,1,66.0,27.0,44.0,65.0,74.0,CB
S. Brisley,England,66,67,600000.0,1,66.0,30.0,38.0,65.0,69.0,CB
E. Butin,France,66,66,625000.0,1,70.0,61.0,58.0,25.0,63.0,ST
Ruymán,Spain,66,66,475000.0,1,68.0,46.0,57.0,66.0,70.0,"CB, LB"
C. Landu Landu,Norway,66,71,725000.0,1,61.0,43.0,55.0,65.0,77.0,"CDM, CM"
A. Chicksen,England,66,69,650000.0,1,77.0,52.0,58.0,61.0,63.0,"LB, RB, LM"
A. Jacobson,United States,66,66,450000.0,1,62.0,59.0,62.0,62.0,74.0,"CDM, CM, CB"
L. Di Matteo,Italy,66,66,475000.0,1,73.0,55.0,58.0,62.0,62.0,"LB, LM"
D. Christensen,Denmark,66,66,500000.0,1,69.0,51.0,59.0,65.0,60.0,LB
E. Pimentel,Mexico,66,66,525000.0,1,66.0,34.0,49.0,63.0,74.0,CB
P. Larsen,Norway,66,66,625000.0,1,66.0,63.0,62.0,63.0,75.0,"CM, LM"
R. Henkens,Belgium,66,66,625000.0,1,65.0,63.0,65.0,57.0,62.0,"RM, CM, LM"
Juanmi Callejón,Spain,66,66,575000.0,1,76.0,58.0,62.0,32.0,60.0,"RM, LM, RW"
S. Bouhours,France,66,66,450000.0,1,58.0,29.0,61.0,67.0,71.0,LB
M. Hornig,Germany,66,66,275000.0,1,36.0,40.0,45.0,66.0,73.0,CB
D. Oduro,Ghana,66,66,550000.0,1,90.0,60.0,59.0,37.0,66.0,"RM, RW, ST"
S. Zizzo,United States,66,66,450000.0,1,76.0,58.0,60.0,62.0,69.0,RB
T. Morimoto,Japan,66,66,625000.0,2,67.0,64.0,55.0,31.0,72.0,"ST, CAM"
D. Worrall,England,66,67,700000.0,1,80.0,58.0,60.0,48.0,61.0,"RM, LM, RB"
M. Viniegra,Mexico,66,66,500000.0,1,66.0,55.0,64.0,61.0,70.0,"CDM, CM"
T. Scobbie,Scotland,66,66,500000.0,1,54.0,14.0,55.0,66.0,63.0,"CB, LB"
M. Canchila,Colombia,66,66,110000.0,1,45.0,53.0,54.0,64.0,64.0,"CB, CDM"
F. Moussa,Belgium,66,66,625000.0,1,76.0,64.0,61.0,38.0,66.0,"LM, CAM, ST"
K. Guédé,Slovakia,66,66,550000.0,1,59.0,65.0,55.0,57.0,86.0,"ST, RM"
M. Gardyne,Scotland,66,66,550000.0,1,82.0,57.0,59.0,44.0,59.0,"LM, RM"
M. O'Connor,Northern Ireland,66,66,600000.0,1,66.0,63.0,68.0,58.0,76.0,CM
A. Nordvik,Norway,66,66,475000.0,1,75.0,45.0,56.0,64.0,71.0,"CB, LB"
A. Wordsworth,England,66,66,625000.0,1,66.0,66.0,68.0,42.0,62.0,"CM, CAM"
B. Clarke,Republic of Ireland,66,66,625000.0,1,70.0,65.0,55.0,33.0,69.0,ST
F. León,Argentina,66,66,400000.0,1,59.0,38.0,43.0,66.0,71.0,CB
W. Kędziora,Poland,66,66,250000.0,1,52.0,64.0,54.0,32.0,71.0,ST
J. Tosik,Poland,66,66,450000.0,1,74.0,46.0,56.0,63.0,75.0,"RB, CDM"
S. Pylypchuk,Ukraine,66,66,500000.0,1,72.0,67.0,65.0,45.0,74.0,"LM, RM"
B. Santalab,Australia,66,66,425000.0,1,67.0,71.0,47.0,33.0,72.0,ST
J. Walsh,Wales,66,73,750000.0,1,70.0,39.0,53.0,64.0,71.0,CB
T. McMahon,England,66,66,425000.0,1,68.0,46.0,59.0,66.0,70.0,"RB, RM"
D. Raven,England,66,66,400000.0,1,68.0,30.0,55.0,63.0,74.0,RB
M. Wasiluk,Poland,66,66,475000.0,1,54.0,45.0,49.0,68.0,77.0,"CB, LB"
G. Bonin,Poland,66,66,475000.0,1,58.0,70.0,67.0,52.0,66.0,RM
M. Coppola,Italy,66,66,300000.0,1,73.0,49.0,61.0,66.0,78.0,"CM, CDM"
S. Asildarov,Russia,66,66,425000.0,1,63.0,66.0,55.0,29.0,73.0,ST
P. Quinn,Scotland,66,66,450000.0,1,57.0,28.0,53.0,64.0,70.0,CB
S. Petersen,Denmark,66,66,550000.0,1,85.0,55.0,59.0,24.0,68.0,"RM, LM"
N. Montgomery,Scotland,66,66,190000.0,1,53.0,48.0,52.0,65.0,80.0,CDM
E. Marester,France,66,66,350000.0,1,73.0,54.0,63.0,61.0,68.0,RB
B. Carroll,United States,66,66,190000.0,1,58.0,47.0,59.0,66.0,62.0,CDM
E. Ekobo,Cameroon,66,66,110000.0,1,50.0,48.0,60.0,65.0,78.0,"CDM, CB"
L. Holmes,England,66,66,575000.0,1,77.0,56.0,63.0,33.0,56.0,"LM, RM"
B. Konaté,France,66,73,900000.0,1,63.0,44.0,61.0,66.0,62.0,"CM, CDM"
D. Bogaev,Russia,66,71,850000.0,1,76.0,59.0,62.0,59.0,51.0,"RM, RB"
J. Yaro,Ghana,66,75,850000.0,1,82.0,39.0,49.0,65.0,70.0,CB
V. Sakor,Norway,66,76,1000000.0,1,64.0,52.0,62.0,64.0,76.0,"CM, CAM"
J. Kjær,Denmark,66,66,575000.0,1,87.0,62.0,51.0,20.0,71.0,ST
A. Zain,Saudi Arabia,66,66,700000.0,1,78.0,60.0,59.0,58.0,62.0,"RM, LM"
Romário Baldé,Portugal,66,72,900000.0,1,77.0,64.0,55.0,29.0,66.0,"LM, RM"
F. Noor,Netherlands,66,72,875000.0,1,73.0,58.0,63.0,60.0,67.0,"CM, CDM"
M. Pitton,Argentina,66,74,825000.0,1,68.0,47.0,59.0,64.0,63.0,"CDM, RM, CM"
J. Mendy,Senegal,66,66,675000.0,1,84.0,63.0,43.0,19.0,69.0,ST
L. Escalante,Colombia,66,69,825000.0,1,74.0,63.0,57.0,21.0,66.0,"ST, LM, CAM"
M. Al Najrani,Saudi Arabia,66,72,875000.0,1,66.0,58.0,63.0,55.0,64.0,"RM, LM, CM"
B. Kamau,Australia,66,71,850000.0,1,90.0,57.0,56.0,28.0,50.0,RM
B. Camoglu,Germany,66,74,950000.0,1,83.0,35.0,59.0,59.0,55.0,"RM, RB, CAM"
A. Portales,Mexico,66,71,725000.0,1,62.0,36.0,54.0,65.0,72.0,CB
R. Cisneros,Mexico,66,79,1300000.0,1,70.0,63.0,52.0,25.0,65.0,ST
S. Sukharev,Russia,66,66,475000.0,1,63.0,44.0,57.0,65.0,70.0,"CB, LB"
M. Taş,Turkey,66,70,700000.0,1,67.0,50.0,55.0,64.0,66.0,"CDM, CM"
Ö. Özdemir,Turkey,66,72,750000.0,1,61.0,48.0,52.0,63.0,79.0,"CB, CDM"
Yann,Brazil,66,73,900000.0,1,67.0,58.0,64.0,43.0,52.0,"CAM, RM"
M. Altıntaş,Turkey,66,75,1000000.0,1,71.0,59.0,48.0,32.0,70.0,ST
O. Sidibé,Guinea,66,66,350000.0,1,72.0,31.0,55.0,64.0,71.0,RB
B. Youssouf,Comoros,66,72,750000.0,1,74.0,37.0,56.0,63.0,62.0,RB
V. Solomon-Otabor,Nigeria,66,77,1100000.0,1,88.0,58.0,57.0,32.0,67.0,"LM, RM"
C. Dean,United States,66,70,700000.0,1,49.0,24.0,42.0,63.0,77.0,"CB, LB"
G. Waldschmidt,Germany,66,75,1000000.0,1,72.0,65.0,54.0,19.0,52.0,"ST, CF, RM"
K. Vassell,England,66,73,925000.0,1,80.0,65.0,46.0,31.0,65.0,ST
